Title,Artist,Album
Buji,Azteca,
Yosemite,Travis Scott,Astroworld
Pornography,Travis Scott,Rodeo
True Love,xxxtentacion,
HUMBLE.,Kendrick Lamar,DAMN.
No Role Modelz,J. Cole,2014 Forest Hills Drive
Lose Yourself,Eminem,8 Mile Soundtrack
Mask Off,Future,Future
Suge,DaBaby,Baby on Baby
XO Tour Llif3,Lil Uzi Vert,Luv Is Rage 2
Mo Bamba,Sheck Wes,
Skeletons,Travis Scott,Astroworld
Bandit,Don Toliver,
Flocky Flocky,Don Toliver,The life of a DON
You,Don Toliver,The life of a DON
Money Trees,Kendrick Lamar,"good kid, m.A.A.d city"
Money Longer,Lil Uzi Vert,Lil Uzi Vert vs. the World
Old Town Road,Lil Nas X,
Whoa,Lil Baby,My Turn
Drip Too Hard,Lil Baby,Drip Harder
Antidote,Travis Scott,Rodeo
Congratulations,Post Malone,Stoney
Magnolia,Playboi Carti,Playboi Carti
Goosebumps,Travis Scott,Birds in the Trap Sing McKnight
Lucid Dreams,Juice WRLD,Goodbye & Good Riddance
Pretty Flacko,A$AP Rocky,
Sigur dar incet,Ian,
Highest in the room,Travis Scott,
Apple Pie,Travis Scott,Rodeo
Starboy,The Weeknd,Starboy
